Code,Description,Genus Code
BN-02INART-ECV-LSP,"BN 2"" Artfully Rooted Echeveria Long SP",ECHEVERIA
BN-02INART-FIT-LSP,"BN 2"" Artfully Rooted Fittonia Long SP",FITTONIA
BN-02INART-HAW-LSP,"BN 2"" Artfully Rooted Haworthia Long SP",HAWORTHIA
BN-02INART-KAN-LSP,"BN 2"" Artfully Rooted Kalanchoe Long SP",KALANCHOE
BN-02INART-PEP-LSP,"BN 2"" Artfully Rooted Peperomia Long SP",PEPEROMIA
BN-02INART-PIL-LSP,"BN 2"" Artfully Rooted Pilea Long SP",PILEA
BN-02INART-SAN-LSP,"BN 2"" Artfully Rooted Sansevieria Long SP",SANSEVIERIA
BN-02QTANN-AGE-LSP,BN 2 QT Ageratum Long SP,AGERATUM
BN-02QTANN-AGE-MSP,BN 2 QT Ageratum Mid SP,AGERATUM
BN-02QTANN-AGE-SSP,BN 2 QT Ageratum Short SP,AGERATUM
BN-02QTANN-ALY-LSP,BN 2 QT Alyssum Long SP,ALYSSUM
BN-02QTANN-ALY-MSP,BN 2 QT Alyssum Mid SP,ALYSSUM
BN-02QTANN-ALY-SSP,BN 2 QT Alyssum Short SP,ALYSSUM
BN-02QTANN-BEG-LSP,BN 2 QT Begonia Long SP,BEGONIA
BN-02QTANN-BEG-MSP,BN 2 QT Begonia Mid SP,BEGONIA
BN-02QTANN-BEG-SSP,BN 2 QT Begonia Short SP,BEGONIA
BN-02QTANN-CEL-LSP,BN 2 QT Celosia Long SP,CELOSIA
BN-02QTANN-CEL-MSP,BN 2 QT Celosia Mid SP,CELOSIA
BN-02QTANN-CEL-SSP,BN 2 QT Celosia Short SP,CELOSIA
BN-02QTANN-COL-LSP,BN 2 QT Coleus Long SP,COLEUS
BN-02QTANN-COL-MSP,BN 2 QT Coleus Mid SP,COLEUS
BN-02QTANN-COL-SSP,BN 2 QT Coleus Short SP,COLEUS
BN-02QTANN-DIA-LSP,BN 2 QT Dianthus Long SP,DIANTHUS
BN-02QTANN-DIA-MSP,BN 2 QT Dianthus Mid SP,DIANTHUS
BN-02QTANN-DIA-SSP,BN 2 QT Dianthus Short SP,DIANTHUS
BN-02QTANN-DUS-LSP,BN 2 QT Dusty Miller Long SP,DUSTY MILLER
BN-02QTANN-DUS-MSP,BN 2 QT Dusty Miller Mid SP,DUSTY MILLER
BN-02QTANN-DUS-SSP,BN 2 QT Dusty Miller Short SP,DUSTY MILLER
BN-02QTANN-IMP-LSP,BN 2 QT Impatiens Long SP,IMPATIENS
BN-02QTANN-IMP-MSP,BN 2 QT Impatiens Mid SP,IMPATIENS
BN-02QTANN-IMP-SSP,BN 2 QT Impatiens Short SP,IMPATIENS
BN-02QTANN-MAR-LSP,BN 2 QT Marigold Long SP,MARIGOLD
BN-02QTANN-MAR-MSP,BN 2 QT Marigold Mid SP,MARIGOLD
BN-02QTANN-MAR-SSP,BN 2 QT Marigold Short SP,MARIGOLD
BN-02QTANN-PAN-LSP,BN 2 QT Pansy Long SP,PANSY
BN-02QTANN-PAN-MSP,BN 2 QT Pansy Mid SP,PANSY
BN-02QTANN-PAN-SSP,BN 2 QT Pansy Short SP,PANSY
BN-02QTANN-PET-LSP,BN 2 QT Petunia Long SP,PETUNIA
BN-02QTANN-PET-MSP,BN 2 QT Petunia Mid SP,PETUNIA
BN-02QTANN-PET-SSP,BN 2 QT Petunia Short SP,PETUNIA
BN-02QTANN-POR-LSP,BN 2 QT Portulaca Long SP,PORTULACA
BN-02QTANN-POR-MSP,BN 2 QT Portulaca Mid SP,PORTULACA
BN-02QTANN-POR-SSP,BN 2 QT Portulaca Short SP,PORTULACA
BN-02QTANN-SAL-LSP,BN 2 QT Salvia Long SP,SALVIA
BN-02QTANN-SNA-LSP,BN 2 QT Snapdragon Long SP,SNAPDRAGON
BN-02QTANN-SNA-MSP,BN 2 QT Snapdragon Mid SP,SNAPDRAGON
BN-02QTANN-SNA-SSP,BN 2 QT Snapdragon Short SP,SNAPDRAGON
BN-02QTANN-VIN-LSP,BN 2 QT Vinca Long SP,VINCA
BN-02QTANN-VIN-MSP,BN 2 QT Vinca Mid SP,VINCA
BN-02QTANN-VIN-SSP,BN 2 QT Vinca Short SP,VINCA
BN-02QTANN-ZIN-LSP,BN 2 QT Zinnia Long SP,ZINNIA
BN-02QTANN-ZIN-MSP,BN 2 QT Zinnia Mid SP,ZINNIA
BN-02QTANN-ZIN-SSP,BN 2 QT Zinnia Short SP,ZINNIA
BN-04INACC-HED-LSP,"BN 4"" Accent Hedera Long SP",HEDERA
BN-04INACC-HED-MSP,"BN 4"" Accent Hedera Mid SP",HEDERA
BN-04INACC-HED-SSP,"BN 4"" Hedera Ivy Short SP",HEDERA
BN-04INANN-AGE-LSP,"BN 4"" Ageratum Long SP",AGERATUM
BN-04INANN-AGE-MSP,"BN 4"" Ageratum Mid SP",AGERATUM
BN-04INANN-AGE-SSP,"BN 4"" Ageratum Short SP",AGERATUM
BN-04INANN-ALY-LSP,"BN 4"" Alyssum Long SP",ALYSSUM
BN-04INANN-ALY-MSP,"BN 4"" Alyssum Mid SP",ALYSSUM
BN-04INANN-ALY-SSP,"BN 4"" Alyssum ShortSP",ALYSSUM
BN-04INANN-BEG-LSP,"BN 4"" Begonia Long SP",BEGONIA
BN-04INANN-BEG-MSP,"BN 4"" Begonia Mid SP",BEGONIA
BN-04INANN-BEG-SSP,"BN 4"" Begonia Short SP",BEGONIA
BN-04INANN-CEL-LSP,"BN 4"" Celosia Long SP",CELOSIA
BN-04INANN-CEL-MSP,"BN 4"" Celosia Mid SP",CELOSIA
BN-04INANN-CEL-SSP,"BN 4"" Celosia Short SP",CELOSIA
BN-04INANN-COL-LSP,"BN 4"" Coleus Long SP",COLEUS
BN-04INANN-COL-MSP,"BN 4"" Coleus Mid SP",COLEUS
BN-04INANN-COL-SSP,"BN 4"" Coleus Short SP",COLEUS
BN-04INANN-CYP-LSP,"BN 4"" Cyperus Plug for Combo In House",
BN-04INANN-DIA-LSP,"BN 4"" Dianthus Long SP",DIANTHUS
BN-04INANN-DIA-MSP,"BN 4"" Dianthus Mid SP",DIANTHUS
BN-04INANN-DIA-SSP,"BN 4"" Dianthus Short SP",DIANTHUS
BN-04INANN-DUS-LSP,"BN 4"" Dusty Miller Long SP",DUSTY MILLER
BN-04INANN-DUS-MSP,"BN 4"" Dusty Miller Mid SP",DUSTY MILLER
BN-04INANN-DUS-SSP,"BN 4"" Dusty Miller Short SP",DUSTY MILLER
BN-04INANN-GER-LSP,"BN 4"" Geranium Seed Long SP",GERANIUM
BN-04INANN-GER-MSP,"BN 4"" Geranium Seed Mid SP",GERANIUM
BN-04INANN-GER-SSP,"BN 4"" Geranium Seed Short SP",GERANIUM
BN-04INANN-IMP-LSP,"BN 4"" Impatiens Long SP",IMPATIENS
BN-04INANN-IMP-MSP,"BN 4"" Impatiens Mid SP",IMPATIENS
BN-04INANN-IMP-SSP,"BN 4"" Impatiens Short SP",IMPATIENS
BN-04INANN-MAR-LSP,"BN 4"" Marigold Long SP",MARIGOLD
BN-04INANN-MAR-MSP,"BN 4"" Marigold Mid SP",MARIGOLD
BN-04INANN-MAR-SSP,"BN 4"" Marigold Short SP",MARIGOLD
BN-04INANN-PAN-KY1SP,"BN 4"" Pansy KY01 SP",PANSY
BN-04INANN-PAN-LSP,"BN 4"" Pansy Long SP",PANSY
BN-04INANN-PAN-MSP,"BN 4"" Pansy Mid SP",PANSY
BN-04INANN-PAN-SSP,"BN 4"" Pansy Short SP",PANSY
BN-04INANN-PAN-VA7SP,"BN 4"" Pansy VA07 SP",PANSY
BN-04INANN-PET-LSP,"BN 4"" Petunia Long SP",PETUNIA
BN-04INANN-PET-MSP,"BN 4"" Petunia Mid SP",PETUNIA
BN-04INANN-PET-SSP,"BN 4"" Petunia Short SP",PETUNIA
BN-04INANN-POR-LSP,"BN 4"" Portulaca Long SP",PORTULACA
BN-04INANN-POR-MSP,"BN 4"" Portulaca Mid SP",PORTULACA
BN-04INANN-POR-SSP,"BN 4"" Portulaca Short SP",PORTULACA
BN-04INANN-SAL-LSP,"BN 4"" Salvia Long SP",SALVIA
BN-04INANN-SAL-MSP,"BN 4"" Salvia Mid SP",SALVIA
BN-04INANN-SAL-SSP,"BN 4"" Salvia Short SP",SALVIA
BN-04INANN-SNA-LSP,"BN 4"" Snapdragon Long SP",SNAPDRAGON
BN-04INANN-SNA-MSP,"BN 4"" Snapdragon Mid SP",SNAPDRAGON
BN-04INANN-SNA-SSP,"BN 4"" Snapdragon Short SP",SNAPDRAGON
BN-04INANN-VIN-LSP,"BN 4"" Vinca Long SP",VINCA
BN-04INANN-VIN-MSP,"BN 4"" Vinca Mid SP",VINCA
BN-04INANN-VIN-SSP,"BN 4"" Vinca Short SP",VINCA
BN-04INANN-VIO-LSP,"BN 4"" Viola Long SP",VIOLA
BN-04INFMP-ART-LSP,"BN 4"" Ferry Morse Artichoke Long SP",ARTICHOKE
BN-04INFMP-ASC-LSP,"BN 4"" Ferry Morse Asclepias Long SP",ASCLEPIAS
BN-04INFMP-BAS-LSP,"BN 4"" Ferry Morse Basil Long SP",BASIL
BN-04INFMP-BRO-LSP,"BN 4"" Ferry Morse Broccoli Long SP",BROCCOLI
BN-04INFMP-BRU-LSP,"BN 4"" Ferry Morse Brussel Sprouts Long SP",BRUSSEL SPROUTS
BN-04INFMP-CAB-LSP,"BN 4"" Ferry Morse Cabbage Long SP",CABBAGE
BN-04INFMP-CAU-LSP,"BN 4"" Ferry Morse Cauliflower Long SP",CAULIFLOWER
BN-04INFMP-CEL-LSP,"BN 4"" Ferry Morse Celosia Long SP",CELOSIA
BN-04INFMP-CHI-LSP,"BN 4"" Ferry Morse Chives Long SP",CHIVES
BN-04INFMP-CIL-LSP,"BN 4"" Ferry Morse Cilantro Long SP",CILANTRO
BN-04INFMP-COL-LSP,"BN 4"" Ferry Morse Coleus Long SP",COLEUS
BN-04INFMP-DIL-LSP,"BN 4"" Ferry Morse Dill Long SP",DILL
BN-04INFMP-ECH-LSP,"BN 4"" Ferry Morse Echinacea Long SP",ECHINACEA
BN-04INFMP-KAL-LSP,"BN 4"" Ferry Morse Kale Long SP",KALE
BN-04INFMP-LUP-LSP,"BN 4"" Ferry Morse Lupine Long SP",LUPINE
BN-04INFMP-MON-LSP,"BN 4"" Ferry Morse Mondarda Long SP",MONARDA
BN-04INFMP-MUM-LSP,"BN 4"" Ferry Morse Mum Long SP",CHRYSANTHEMUM
