Code,Description,Genus Code
BN-12HBPRE-PET-LHN,"BN 12"" HB Premier Petunia Rhythm and Blues Long HN",PETUNIA
BN-12HBPRE-PET-LSP,"BN 12"" HB Premier Petunia Rhythm and Blues Long SP",PETUNIA
BN-12HBPRE-PET-MHN,"BN 12"" HB Premier Petunia Rhythm and Blues Mid HN",PETUNIA
BN-12HBPRE-PET-MSP,"BN 12"" HB Premier Petunia Rhythm and Blues Mid SP",PETUNIA
BN-12HBPRE-PET-SHN,"BN 12"" HB Prem. Petunia Rhythm and Blues Short HN",PETUNIA
BN-12HBPRE-PET-SSP,"BN 12"" HB Prem. Petunia Rhythm and Blues Short SP",PETUNIA
BN-12HBPRE-SUN-DSLSP,"BN 12"" HB Premier Sunpatiens DS Long SP",
BN-12HBPRE-SUN-DSMSP,"BN 12"" HB Premier Sunpatiens DS Mid SP",
BN-12HBPRE-SUN-DSSSP,"BN 12"" HB Premier Sunpatiens DS Short SP",
BN-12HBSEL-COM-LHN,"BN 12"" HB Eastlake SW Combo Long HN",
BN-12HBSEL-COM-LSP,"BN 12"" HB Eastlake SW Combo Long SP",
BN-12HBSEL-COM-MHN,"BN 12"" HB Eastlake SW Combo Mid HN",
BN-12HBSEL-COM-MSP,"BN 12"" HB Eastlake SW Combo Mid SP",
BN-12HBSEL-COM-SHN,"BN 12"" HB Eastlake SW Combo Short HN",
BN-12HBSEL-COM-SSP,"BN 12"" HB Eastlake SW Combo Short SP",
BN-12HBSEL-PAN-LHN,"BN 12"" HB Carrara Pansy Cool Wave Long HN",PANSY
BN-12HBSEL-PAN-MHN,"BN 12"" HB Carrara Pansy Cool Wave Mid HN",PANSY
BN-12HBSEL-PAN-SHN,"BN 12"" HB Carrara Pansy Cool Wave Short HN",PANSY
BN-12INBEL-LSP,"BN 12"" Bellina Long SP",
BN-12INBOW-BEG-H-LPT,"BN 12"" Bowl Begonia Valentino Long PT",BEGONIA
BN-12INBOW-BEG-H-LSP,"BN 12"" Bowl Begonia Valentino Long SP",BEGONIA
BN-12INBOW-BEG-H-MPT,"BN 12"" Bowl Begonia Valentino Mid PT",BEGONIA
BN-12INBOW-BEG-H-MSP,"BN 12"" Bowl Begonia Valentino Mid SP",BEGONIA
BN-12INBOW-BEG-H-SPT,"BN 12"" Bowl Begonia Valentino Short PT",BEGONIA
BN-12INBOW-BEG-H-SSP,"BN 12"" Bowl Begonia Valentino Short SP",BEGONIA
BN-12INBOW-BEG-LSP,"BN 12"" Bowl Begonia Long SP",BEGONIA
BN-12INBOW-BEG-MSP,"BN 12"" Bowl Begonia Mid SP",BEGONIA
BN-12INBOW-BEG-SSP,"BN 12"" Bowl Begonia Short SP",BEGONIA
BN-12INBOW-IMP-LPT,"BN 12"" Bowl Impatiens Long PT",IMPATIENS
BN-12INBOW-IMP-LSP,"BN 12"" Bowl Impatiens Long SP",IMPATIENS
BN-12INBOW-IMP-MPT,"BN 12"" Bowl Impatiens Mid PT",IMPATIENS
BN-12INBOW-IMP-MSP,"BN 12"" Bowl Impatiens Mid SP",IMPATIENS
BN-12INBOW-IMP-SPT,"BN 12"" Bowl Impatiens Short PT",IMPATIENS
BN-12INBOW-IMP-SSP,"BN 12"" Bowl Impatiens Short SP",IMPATIENS
BN-12INBOW-PAN-LSP,"BN 12"" Bowl Pansy Long SP",PANSY
BN-12INBOW-PAN-MSP,"BN 12"" Bowl Pansy Mid SP",PANSY
BN-12INBOW-PAN-SSP,"BN 12"" Bowl Pansy Short SP",PANSY
BN-12INBOW-RAN-LPT,"BN 12"" Bowl Ranunculus Long PT",RANUNCULUS
BN-12INBOW-RAN-LSP,"BN 12"" Bowl Ranunculus Long SP",RANUNCULUS
BN-12INBOW-RAN-MPT,"BN 12"" Bowl Ranunculus Mid PT",RANUNCULUS
BN-12INBOW-RAN-MSP,"BN 12"" Bowl Ranunculus Mid SP",RANUNCULUS
BN-12INBOW-RAN-SPT,"BN 12"" Bowl Ranunculus Short PT",RANUNCULUS
BN-12INBOW-RAN-SSP,"BN 12"" Bowl Ranunculus Short SP",RANUNCULUS
BN-12INBOW-SNA-LPT,"BN 12"" Bowl Snapdragon Long PT",SNAPDRAGON
BN-12INBOW-SNA-LSP,"BN 12"" Bowl Snapdragon Long SP",SNAPDRAGON
BN-12INBOW-SNA-MPT,"BN 12"" Bowl Snapdragon Mid PT",SNAPDRAGON
BN-12INBOW-SNA-MSP,"BN 12"" Bowl Snapdragon Mid SP",SNAPDRAGON
BN-12INBOW-SNA-SPT,"BN 12"" Bowl Snapdragon Short PT",SNAPDRAGON
BN-12INBOW-SNA-SSP,"BN 12"" Bowl Snapdragon Short SP",SNAPDRAGON
BN-12INBOW-VIN-LPT,"BN 12"" Bowl Vinca Long PT",VINCA
BN-12INBOW-VIN-LSP,"BN 12"" Bowl Vinca Long SP",VINCA
BN-12INBOW-VIN-MPT,"BN 12"" Bowl Vinca Mid PT",VINCA
BN-12INBOW-VIN-MSP,"BN 12"" Bowl Vinca Mid SP",VINCA
BN-12INBOW-VIN-SPT,"BN 12"" Bowl Vinca Short PT",VINCA
BN-12INBOW-VIN-SSP,"BN 12"" Bowl Vinca Short SP",VINCA
BN-12INCAN-LSP,"BN 12"" Cannasun Long SP",CANNA
BN-12INDND-BEG-LPT,"BN 12"" DND Begonia Long PT",
BN-12INDND-BEG-LSP,"BN 12"" DND Begonia Long SP",
BN-12INDND-BEG-MPT,"BN 12"" DND Begonia Mid PT",
BN-12INDND-BEG-MSP,"BN 12"" DND Begonia Mid SP",
BN-12INDND-BEG-SPT,"BN 12"" DND Begonia Short PT",
BN-12INDND-BEG-SSP,"BN 12"" DND Begonia Short SP",
BN-12INDND-GER-LPT,"BN 12"" DND Geranium Long PT",
BN-12INDND-GER-LSP,"BN 12"" DND Geranium Long SP",
BN-12INDND-GER-MPT,"BN 12"" DND Geranium Mid PT",
BN-12INDND-GER-MSP,"BN 12"" DND Geranium Mid SP",
BN-12INDND-GER-SPT,"BN 12"" DND Geranium Short PT",GERANIUM
BN-12INDND-GER-SSP,"BN 12"" DND Geranium Short SP",GERANIUM
BN-12INDND-PRW-LPT,"BN 12"" DND PW Combo Long PT",
BN-12INDND-PRW-LSP,"BN 12"" DND PW Combo Long SP",
BN-12INDND-PRW-MPT,"BN 12"" DND PW Combo Mid PT",
BN-12INDND-PRW-MSP,"BN 12"" DND PW Combo Mid SP",
BN-12INDND-PRW-SPT,"BN 12"" DND PW Combo Short PT",
BN-12INDND-PRW-SSP,"BN 12"" DND PW Combo Short SP",
BN-12INDND-SUN-LPT,"BN 12"" DND Sunpatiens Long PT",
BN-12INDND-SUN-LSP,"BN 12"" DND Sunpatiens Long SP",
BN-12INDND-SUN-MPT,"BN 12"" DND Sunpatiens Mid PT",
BN-12INDND-SUN-MSP,"BN 12"" DND Sunpatiens Mid SP",
BN-12INDND-SUN-SPT,"BN 12"" DND Sunpatiens Short PT",
BN-12INDND-SUN-SSP,"BN 12"" DND Sunpatiens Short SP",
BN-12INPLT-COM-LPT,"BN 12"" Carrara Planter Combo Confetti Long PT",
BN-12INPLT-COM-LSP,"BN 12"" Carrara Planter Combo Confetti Long SP",
BN-12INPLT-COM-MPT,"BN 12"" Carrara Planter Combo Confetti Mid PT",
BN-12INPLT-COM-MSP,"BN 12"" Carrara Planter Combo Confetti Mid SP",
BN-12INPLT-COM-SPT,"BN 12"" Carrara Planter Combo Confetti Short PT",
BN-12INPLT-COM-SSP,"BN 12"" Carrara Planter Combo Confetti Short SP",
BN-12INPLT-DAH-LPT,"BN 12"" Catalina Tall Dahlia Long PT",
BN-12INPLT-DAH-LSP,"BN 12"" Catalina Tall Dahlia Long SP",DAHLIA
BN-12INPLT-DAH-MSP,"BN 12"" Catalina Tall Dahlia Mid SP",DAHLIA
BN-12INPLT-DAH-SSP,"BN 12"" Catalina Tall Dahlia Short SP",DAHLIA
BN-12INPLT-PAN-KY1SP,"BN 12"" Carrara Planter Pansy Combo KY01 SP",
BN-12INPLT-PAN-LPT,"BN 12"" Carrara Planter Pansy Combo Long PT",
BN-12INPLT-PAN-LSP,"BN 12"" Carrara Planter Pansy Combo Long SP",
BN-12INPLT-PAN-MPT,"BN 12"" Carrara Planter Pansy Combo Mid PT",
BN-12INPLT-PAN-MSP,"BN 12"" Carrara Planter Pansy Combo Mid SP",
BN-12INPLT-PAN-SPT,"BN 12"" Carrara Planter Pansy Combo Short PT",
BN-12INPLT-PAN-SSP,"BN 12"" Carrara Planter Pansy Combo Short SP",
BN-12INPLT-PAN-VA7PT,"BN 12"" Carrara Planter Pansy Combo VA07 PT",
BN-12INPLT-PAN-VA7SP,"BN 12"" Carrara Planter Pansy Combo VA07 SP",
BN-12INPLT-TOM-LPT,"BN 12"" Carrara Planter Combo Tom Mix Long PT",
BN-12INPLT-TOM-LSP,"BN 12"" Carrara Planter Combo Tom Mix Long SP",
BN-12INPLT-TOM-MPT,"BN 12"" Carrara Planter Combo Tom Mix Mid PT",
BN-12INPLT-TOM-MSP,"BN 12"" Carrara Planter Combo Tom Mix Mid SP",
BN-12INPLT-TOM-SPT,"BN 12"" Carrara Planter Combo Tom Mix Short PT",
BN-12INPLT-TOM-SSP,"BN 12"" Carrara Planter Combo Tom Mix Short SP",
BN-12INPOI-BOW-LSP,"BN 12"" Poinsettia Bowl LSP",POINSETTIA
BN-12INPOI-BOW-MSP,"BN 12"" Poinsettia Bowl MSP",POINSETTIA
BN-12INURN-BEG-MSP,"BN 12"" Carrara Urn Begonia",
BN-12INURN-CAD-LPT,"BN 12"" Carrara Urn Combo Caladium Long PT",
BN-12INURN-CAD-LSP,"BN 12"" Carrara Urn Combo Caladium Long SP",
BN-12INURN-CAD-MPT,"BN 12"" Carrara Urn Combo Caladium Mid PT",
BN-12INURN-CAD-MSP,"BN 12"" Carrara Urn Combo Caladium Mid SP",
BN-12INURN-CAD-SPT,"BN 12"" Carrara Urn Combo Caladium Short PT",
BN-12INURN-CAD-SSP,"BN 12"" Carrara Urn Combo Caladium Short SP",
BN-12INURN-TOM-LPT,"BN 12"" Carrara Urn Combo Ohio/Tom Long PT",
BN-12INURN-TOM-LSP,"BN 12"" Carrara Urn Combo Ohio/Tom Long SP",
BN-12INURN-TOM-MPT,"BN 12"" Carrara Urn Combo Ohio/Tom Mid PT",
BN-12INURN-TOM-MSP,"BN 12"" Carrara Urn Combo Ohio/Tom Mid SP",
BN-12INURN-TOM-SPT,"BN 12"" Carrara Urn Combo Ohio/Tom Short PT",
BN-12INURN-TOM-SSP,"BN 12"" Carrara Urn Combo Ohio/Tom Short SP",
BN-12INVIG-VIN-LSP,"BN 12"" Vigoro Planter Vinca Long SP",
BN-12INVIG-ZIN-LSP,"BN 12"" Vigoro Planter Zinnia Long SP",
BN-12INWBX-VEG-LSP,"BN 12"" Window Box Veg Long SP",
BN-13INMUM-BCDS-SP,"BN 13"" Mum Black Cloth Direct Stick SP",CHRYSANTHEMUM
BN-13INMUM-BCLN-SP,"BN 13"" Mum Black Cloth Liner SP",CHRYSANTHEMUM
BN-13INMUM-NSDS-SP,"BN 13"" Mum Nat Season Direct Stick SP",CHRYSANTHEMUM
BN-13INMUM-NSLN-SP,"BN 13"" Mum Nat Season Liner SP",CHRYSANTHEMUM
BN-13INPLT-BEG-LPT,"BN 13"" Premier Planter Begonia Long PT",
BN-13INPLT-BEG-LSP,"BN 13"" Premier Planter Begonia Long SP",
BN-13INPLT-BEG-MPT,"BN 13"" Premier Planter Begonia Mid PT",
BN-13INPLT-BEG-MSP,"BN 13"" Premier Planter Begonia Mid SP",
BN-13INPLT-BEG-SPT,"BN 13"" Premier Planter Begonia Short PT",
BN-13INPLT-BEG-SSP,"BN 13"" Premier Planter Begonia Short SP",
BN-13INPLT-CAD-LPT,"BN 13"" Planter Caladium Long PT",CALADIUM
BN-13INPLT-CAD-LSP,"BN 13"" Planter Caladium Long SP",
BN-13INPLT-CAD-MPT,"BN 13"" Planter Caladium Mid PT",CALADIUM
BN-13INPLT-CAD-MSP,"BN 13"" Planter Caladium Mid SP",
BN-13INPLT-CADPF-LSP,"BN 13"" Caladium Pre-finish Long SP",
BN-13INPLT-CAD-SPT,"BN 13"" Planter Caladium Short PT",CALADIUM
BN-13INPLT-CAD-SSP,"BN 13"" Planter Caladium Short SP",
BN-13INPLT-COM-LPT,"BN 13"" Premier Planter Combo Long PT",
BN-13INPLT-COM-LSP,"BN 13"" Premier Planter Combo Long SP",
BN-13INPLT-COM-MPT,"BN 13"" Premier Planter Combo Mid PT",
BN-13INPLT-COM-MSP,"BN 13"" Premier Planter Combo Mid SP",
BN-13INPLT-COM-SPT,"BN 13"" Premier Planter Combo Short PT",
BN-13INPLT-COM-SSP,"BN 13"" Premier Planter Combo Short SP",
BN-13INPLT-GER-DSLSP,"BN 13"" Premier Planter Geranium DS Long SP",
BN-13INPLT-GER-DSMSP,"BN 13"" Premier Planter Geranium DS Mid SP",
BN-13INPLT-GER-DSSSP,"BN 13"" Premier Planter Geranium DS Short SP",
BN-13INPLT-GER-LPT,"BN 13"" Premier Planter Geranium Long PT",
BN-13INPLT-GER-LSP,"BN 13"" Premier Planter Geranium Long SP",
BN-13INPLT-GER-MPT,"BN 13"" Premier Planter Geranium Mid PT",
BN-13INPLT-GER-MSP,"BN 13"" Premier Planter Geranium Mid SP",
BN-13INPLT-GER-SPT,"BN 13"" Premier Planter Geranium Short PT",GERANIUM
BN-13INPLT-GER-SSP,"BN 13"" Premier Planter Geranium Short SP",GERANIUM
BN-13INPLT-SUN-DSLSP,"BN 13"" Premier Planter Sunpatiens DS Long SP",
BN-13INPLT-SUN-DSMSP,"BN 13"" Premier Planter Sunpatiens DS Mid SP",
BN-13INPLT-SUN-DSSSP,"BN 13"" Premier Planter Sunpatiens DS Short SP",
BN-14HBHYD-HYD-LHN,"BN 14"" HB Hydrangea Long HN",
BN-14HBHYD-HYD-LSP,"BN 14"" HB Hydrangea Long PT",HYDRANGEA
BN-14HBPRE-COM-LHN,"BN 14"" HB Eastlake Promo Long HN",
BN-14HBPRE-COM-LSP,"BN 14"" HB Eastlake Promo Long SP",
BN-14HBPRE-COM-MHN,"BN 14"" HB Eastlake Promo Mid HN",
BN-14HBPRE-COM-MSP,"BN 14"" HB Eastlake Promo Mid SP",
BN-14HBPRE-COM-SHN,"BN 14"" HB Eastlake Promo Short HN",
BN-14HBPRE-COM-SSP,"BN 14"" HB Eastlake Promo Short SP",
BN-14INBUR-COM-LSP,"BN 14"" Planter Burpee Combo Long SP",
BN-14INCLB-CEL-LSP,"BN 14"" Planter Club Buster Celosia Long SP",
BN-14INCLB-CEL-MSP,"BN 14"" Planter Club Buster Celosia Mid SP",CELOSIA
BN-14INCLB-CEL-SSP,"BN 14"" Planter Club Buster Celosia Short SP",CELOSIA
BN-14INCLB-COL-LSP,"BN 14"" Planter Club Buster Coleus Long SP",
BN-14INCLB-COL-MSP,"BN 14"" Planter Club Buster Coleus Mid SP",COLEUS
BN-14INCLB-COL-SSP,"BN 14"" Planter Club Buster Coleus Short SP",COLEUS
BN-14INCLB-PET-LSP,"BN 14"" Planter Club Buster Pet Wave Long SP",
BN-14INCLB-PET-MSP,"BN 14"" Planter Club Buster Pet Wave Mid SP",PETUNIA
BN-14INCLB-PET-SSP,"BN 14"" Planter Club Buster Pet Wave Short SP",PETUNIA
BN-14INCLB-RUD-LSP,"BN 14"" Planter Club Buster Rudbeckia Long SP",
BN-14INCLB-RUD-MSP,"BN 14"" Planter Club Buster Rudbeckia Mid SP",RUDBECKIA
BN-14INCLB-RUD-SSP,"BN 14"" Planter Club Buster Rudbeckia Short SP",RUDBECKIA
BN-14INCLB-VIN-LSP,"BN 14"" Planter Club Buster Vinca Long SP",
BN-14INCLB-VIN-MSP,"BN 14"" Planter Club Buster Vinca Mid SP",VINCA
BN-14INCLB-VIN-SSP,"BN 14"" Planter Club Buster Vinca Short SP",VINCA
BN-14INCLB-ZIN-LSP,"BN 14"" Planter Club Buster Zinnia Long SP",
BN-14INCLB-ZIN-MSP,"BN 14"" Planter Club Buster Zinnia Mid SP",ZINNIA
BN-14INCLB-ZIN-SSP,"BN 14"" Planter Club Buster Zinnia Short SP",ZINNIA
BN-14INMUM-BCDS-SP,"BN 14""/14"" HB Mum Black Cloth Direct Stick SP",CHRYSANTHEMUM
BN-14INMUM-BCLN-SP,"BN 14""/14"" HB Mum Black Cloth Liner SP",CHRYSANTHEMUM
BN-14INMUM-NSDS-SP,"BN 14""/14"" HB Mum Nat Season Direct Stick SP",CHRYSANTHEMUM
BN-14INMUM-NSLN-SP,"BN 14""/14"" HB Mum Nat Season Liner SP",CHRYSANTHEMUM
BN-14INPLT-BEG-LPT,"BN 14"" Dorado Planter Begonia Long PT",BEGONIA
BN-14INPLT-BEG-LSP,"BN 14"" Dorado Planter Begonia Long SP",BEGONIA
BN-14INPLT-BEG-MPT,"BN 14"" Dorado Planter Begonia Mid PT",BEGONIA
BN-14INPLT-BEG-MSP,"BN 14"" Dorado Planter Begonia Mid SP",BEGONIA
BN-14INPLT-BEG-SPT,"BN 14"" Dorado Planter Begonia Short PT",BEGONIA
BN-14INPLT-BEG-SSP,"BN 14"" Dorado Planter Begonia Short SP",BEGONIA
BN-14INPLT-PEN-LPT,"BN 14"" Dorado Planter Pentas Long PT",PENTAS
BN-14INPLT-PEN-LSP,"BN 14"" Dorado Planter Pentas Long SP",PENTAS
BN-14INPLT-PEN-MPT,"BN 14"" Dorado Planter Pentas Mid PT",PENTAS
BN-14INPLT-PEN-MSP,"BN 14"" Dorado Planter Pentas Mid SP",PENTAS
BN-14INPLT-PEN-SPT,"BN 14"" Dorado Planter Pentas Short PT",PENTAS
BN-14INPLT-PEN-SSP,"BN 14"" Dorado Planter Pentas Short SP",PENTAS
BN-14INPLT-VIN-LPT,"BN 14"" Dorado Planter Vinca Long PT",VINCA
BN-14INPLT-VIN-LSP,"BN 14"" Dorado Planter Vinca Long SP",VINCA
BN-14INPLT-VIN-MPT,"BN 14"" Dorado Planter Vinca Mid PT",VINCA
BN-14INPLT-VIN-MSP,"BN 14"" Dorado Planter Vinca Mid SP",VINCA
BN-14INPLT-VIN-SPT,"BN 14"" Dorado Planter Vinca Short PT",VINCA
BN-14INPLT-VIN-SSP,"BN 14"" Dorado Planter Vinca Short SP",
BN-14INPRE-COM-LPT,"BN 14"" Eastlake Pltr Promo Long PT",
BN-14INPRE-COM-LSP,"BN 14"" Eastlake Pltr Promo Long SP",
BN-14INPRE-COM-MPT,"BN 14"" Eastlake Pltr Promo Mid PT",
BN-14INPRE-COM-MSP,"BN 14"" Eastlake Pltr Promo Mid SP",
BN-14INPRE-COM-SPT,"BN 14"" Eastlake Pltr Promo Short PT",
BN-14INPRE-COM-SSP,"BN 14"" Eastlake Pltr Promo Short SP",
BN-14WBMUM-BCDS-SP,"BN 14"" Goodsn Window Box Mum  Black Cloth DS SP",CHRYSANTHEMUM
BN-14WBMUM-BCLN-SP,"BN 14"" Goodsn Window Box Mum  Black Cloth Liner SP",CHRYSANTHEMUM
BN-14WBMUM-NSDS-SP,"BN 14"" Goodsn Window Box Mum Nat Season DS SP",CHRYSANTHEMUM
BN-14WBMUM-NSLN-SP,"BN 14"" Goodsn Window Box Mum Nat Season Liner SP",CHRYSANTHEMUM
BN-15INBAR-COM-LPT,"BN 15"" Whiskey Annual Barrel Long PT",
BN-15INBAR-COM-LSP,"BN 15"" Whiskey Annual Barrel Long SP",
BN-15INBAR-COM-MPT,"BN 15"" Whiskey Annual Barrel Mid PT",
BN-15INBAR-COM-MSP,"BN 15"" Whiskey Annual Barrel Mid SP",
BN-15INBAR-COM-SPT,"BN 15"" Whiskey Annual Barrel Short PT",
BN-15INBAR-COM-SSP,"BN 15"" Whiskey Annual Barrel Short SP",
BN-15INMUM-BCDS-SP,"BN 15"" Barrel Mum Black Cloth Direct Stick SP",CHRYSANTHEMUM
BN-15INMUM-BCLN-SP,"BN 15"" Barrel Mum Black Cloth Liner SP",CHRYSANTHEMUM
BN-15INMUM-NSDS-SP,"BN 15"" Barrel Mum Nat Season Direct Stick SP",CHRYSANTHEMUM
BN-15INMUM-NSLN-SP,"BN 15"" Barrel Mum Nat Season Liner SP",CHRYSANTHEMUM
BN-15INWBX-SHD-LPT,"BN 15"" Window Box Shade Long PT",
BN-15INWBX-SHD-LSP,"BN 15"" Window Box Shade Long SP",
BN-15INWBX-SHD-MPT,"BN 15"" Window Box Shade Mid PT",
BN-15INWBX-SHD-MSP,"BN 15"" Window Box Shade Mid SP",
BN-15INWBX-SHD-SPT,"BN 15"" Window Box Shade Short PT",
BN-15INWBX-SHD-SSP,"BN 15"" Window Box Shade Short SP",
BN-15WBMUM-BCDS-SP,"BN 15"" Window Box Mum Black Cloth Direct Stick SP",CHRYSANTHEMUM
BN-15WBMUM-BCLN-SP,"BN 15"" Window Box Mum Black Cloth Liner SP",CHRYSANTHEMUM
BN-15WBMUM-NSDS-SP,"BN 15"" Window Box Mum Nat Season Direct Stick SP",CHRYSANTHEMUM
BN-15WBMUM-NSLN-SP,"BN 15"" Window Box Mum Nat Season Liner SP",CHRYSANTHEMUM
BN-16HBCCO-COM-LHN,"BN 16"" HB Coco Combo Long HN",
BN-16HBCCO-COM-LSP,"BN 16"" HB Coco Combo Long SP",
BN-16HBCCO-COM-MHN,"BN 16"" HB Coco Combo Mid HN",
BN-16HBCCO-COM-MSP,"BN 16"" HB Coco Combo Mid SP",
BN-16HBCCO-COM-SHN,"BN 16"" HB Coco Combo Short HN",
BN-16HBCCO-COM-SSP,"BN 16"" HB Coco Combo Short SP",
BN-16INPLT-COM-LPT,"BN 16"" Parkway Planter PW Long PT",
BN-16INPLT-COM-LSP,"BN 16"" Parkway Planter PW Long SP",
BN-16INPLT-COM-MPT,"BN 16"" Parkway Planter PW Mid PT",
BN-16INPLT-COM-MSP,"BN 16"" Parkway Planter PW Mid SP",
BN-16INPLT-COM-SPT,"BN 16"" Parkway Planter PW Short PT",
BN-16INPLT-COM-SSP,"BN 16"" Parkway Planter PW Short SP",
BN-16INPOI-PLT-LSP,"BN 16"" Poinsettia Premium Planter Long SP",POINSETTIA
BN-16INURN-COM-LPT,"BN 16"" Parkway Urn Combo Long PT",
BN-16INURN-COM-LSP,"BN 16"" Parkway Urn Combo Long SP",
BN-16INURN-COM-MPT,"BN 16"" Parkway Urn Combo Mid PT",
BN-16INURN-COM-MSP,"BN 16"" Parkway Urn Combo Mid SP",
BN-16INURN-COM-SPT,"BN 16"" Parkway Urn Combo Short PT",
BN-16INURN-COM-SSP,"BN 16"" Parkway Urn Combo Short SP",
BN-17CMPWT-ALO-LPT,BN 17CM PW Trop Alocasia Long PT,ALOCASIA
BN-17CMPWT-ASP-LPT,BN 17CM PW Trop Asplenium Long PT,ASPLENIUM
BN-17CMPWT-CAL-LPT,BN 17CM PW Trop Calathea Long PT,CALATHEA
BN-17CMPWT-CTE-LPT,BN 17CM PW Trop Ctenanthe Long PT,CTENANTHE
BN-17CMPWT-EPI-LPT,BN 17CM PW Trop Epipremnum Long PT,EPIPREMNUM
BN-17CMPWT-FER-LPT,BN 17CM PW Trop Fern Long PT,FERN
BN-17CMPWT-FIC-LPT,BN 17CM PW Trop Ficus Long PT,FICUS
BN-17CMPWT-FIC-MPT,BN 17CM PW Trop Ficus Mid PT,FICUS
BN-17CMPWT-FIC-SPT,BN 17CM PW Trop Ficus Short PT,FICUS
BN-17CMPWT-HOM-MSP,BN 17CM PW Trop Homalomena Mid SP,HOMALOMENA
BN-17CMPWT-MON-LPT,BN 17CM PW Trop Monstera Long PT,MONSTERA
BN-17CMPWT-PHI-LPT,BN 17CM PW Trop Philodendron Long PT,PHILODENDRON
BN-17CMPWT-PHI-MPT,BN 17CM PW Trop Philodendron Mid PT,PHILODENDRON
BN-17CMPWT-PHL-LPT,BN 17CM PW Trop Phlebodium Long PT,PHLEBODIUM
BN-17CMPWT-SCH-LPT,BN 17CM PW Trop Schismatoglottis,SCHISMATOGLOTTIS
BN-17INBOW-COM-LPT,"BN 17"" Dorado Bowl Combo Long PT",
BN-17INBOW-COM-LSP,"BN 17"" Dorado Bowl Combo Long SP",
BN-17INBOW-COM-MPT,"BN 17"" Dorado Bowl Combo Mid PT",
BN-17INBOW-COM-MSP,"BN 17"" Dorado Bowl Combo Mid SP",
BN-17INBOW-COM-SPT,"BN 17"" Dorado Bowl Combo Short PT",
BN-17INBOW-COM-SSP,"BN 17"" Dorado Bowl Combo Short SP",
BN-17INBOW-PEN-LSP,"BN 17"" Bowl Pentas Long SP",PENTAS
BN-17INBOW-PET-LSP,"BN 17"" Bowl Petunia Wave Long SP",PETUNIA
BN-17INBOW-PET-MSP,"BN 17"" Bowl Petunia Wave Mid SP",PETUNIA
BN-17INBOW-PET-SSP,"BN 17"" Bowl Petunia Wave Short SP",PETUNIA
BN-17INBOW-SAL-LPT,"BN 17"" Bowl Salvia Long PT",SALVIA
BN-17INBOW-SAL-LSP,"BN 17"" Bowl Salvia Long SP",SALVIA
BN-17INBOW-SAL-MPT,"BN 17"" Bowl Salvia Mid PT",SALVIA
BN-17INBOW-SAL-MSP,"BN 17"" Bowl Salvia Mid SP",SALVIA
BN-17INBOW-SAL-SPT,"BN 17"" Bowl Salvia Short PT",SALVIA
BN-17INBOW-SAL-SSP,"BN 17"" Bowl Salvia Short SP",SALVIA
BN-17INBOW-STO-LSP,"BN 17"" Bowl Stock Long SP",STOCK
BN-17INBOW-STO-MSP,"BN 17"" Bowl Stock Mid SP",STOCK
BN-17INBOW-STO-SSP,"BN 17"" Bowl Stock Short SP",STOCK
BN-17INBOW-VIO-LPT,"BN 17"" Bowl Viola Long PT",VIOLA
BN-17INBOW-VIO-LSP,"BN 17"" Bowl Viola Long SP",VIOLA
BN-17INBOW-VIO-MPT,"BN 17"" Bowl Viola Mid PT",VIOLA
BN-17INBOW-VIO-MSP,"BN 17"" Bowl Viola Mid SP",VIOLA
BN-17INBOW-VIO-SPT,"BN 17"" Bowl Viola Short PT",VIOLA
BN-17INBOW-VIO-SSP,"BN 17"" Bowl Viola Short SP",VIOLA
BN-18HBCCO-COM-LHN,"BN 18"" HB Coco Long HN",
BN-18HBCCO-COM-LSP,"BN 18"" HB Coco Long SP",
BN-18HBCCO-COM-MHN,"BN 18"" HB Coco Mid HN",
BN-18HBCCO-COM-MSP,"BN 18"" HB Coco Mid SP",
BN-18HBCCO-COM-SHN,"BN 18"" HB Coco Short HN",
BN-18HBCCO-COM-SSP,"BN 18"" HB Coco Short SP",
BN-18INCAN-LSP,"BN 18"" Cannasun Long SP",CANNA
BN-18INPLT-COM-LPT,"BN 18"" Flair Planter Combo Long PT",
BN-18INPLT-COM-LSP,"BN 18"" Flair Planter Combo Long SP",
BN-18INPLT-COM-MPT,"BN 18"" Flair Planter Combo Mid PT",
BN-18INPLT-COM-MSP,"BN 18"" Flair Planter Combo Mid SP",
BN-18INPLT-COM-SPT,"BN 18"" Flair Planter Combo Short PT",
BN-18INPLT-COM-SSP,"BN 18"" Flair Planter Combo Short SP",
BN-1GALACC-COR-LSP,BN 1 Gal Accent Cordyline Long SP,CORDYLINE
BN-1GALACC-DRA-LSP,BN 1 Gal Accent Dracaena Long SP,DRACAENA
BN-1GALANN-BOU-LPT,BN 1 Gal Bougainvillea Long PT,
BN-1GALANN-GEB-LSP,BN 1 Gal Annual Gerbera Daisy Long SP,GERBERA
BN-1GALANN-GEB-MSP,BN 1 Gal Annual Gerbera Daisy Mid SP,GERBERA
BN-1GALANN-GEB-SSP,BN 1 Gal Annual Gerbera Daisy Short SP,GERBERA
BN-1GALANN-GRB-LPT,BN 1 Gal Gerbera Daisy Long PT,GERBERA
BN-1GALANN-GRB-MPT,BN 1 Gal Gerbera Daisy Mid PT,GERBERA
