Production Scheme Code,Line no_,Production Phase,Duration,Qty_ per Area,Output _
BN-018PANN-CEL-SSP,"20,000",INVENTORY,1.00,0.96,100.00
BN-018PANN-COL-LSP,"10,000",GROW,7.00,0.96,0.00
BN-018PANN-COL-LSP,"20,000",INVENTORY,1.00,0.96,100.00
BN-018PANN-COL-MSP,"10,000",GROW,6.00,0.96,0.00
BN-018PANN-COL-MSP,"20,000",INVENTORY,1.00,0.96,100.00
BN-018PANN-COL-SSP,"10,000",GROW,5.00,0.96,0.00
BN-018PANN-COL-SSP,"20,000",INVENTORY,1.00,0.96,100.00
BN-018PANN-IMP-LSP,"10,000",GROW,6.00,0.96,0.00
BN-018PANN-IMP-LSP,"20,000",INVENTORY,1.00,0.96,100.00
BN-018PANN-IMP-MSP,"10,000",GROW,5.00,0.96,0.00
BN-018PANN-IMP-MSP,"20,000",INVENTORY,1.00,0.96,100.00
BN-018PANN-IMP-SSP,"10,000",GROW,4.00,0.96,0.00
BN-018PANN-IMP-SSP,"20,000",INVENTORY,1.00,0.96,100.00
BN-018PANN-MAR-LSP,"10,000",GROW,6.00,0.96,0.00
BN-018PANN-MAR-LSP,"20,000",INVENTORY,1.00,0.96,100.00
BN-018PANN-MAR-MSP,"10,000",GROW,5.00,0.96,0.00
BN-018PANN-MAR-MSP,"20,000",INVENTORY,1.00,0.96,100.00
BN-018PANN-MAR-SSP,"10,000",GROW,4.00,0.96,0.00
BN-018PANN-MAR-SSP,"20,000",INVENTORY,1.00,0.96,100.00
BN-018PANN-PAN-KY1SP,"10,000",GROW,8.00,0.72,0.00
BN-018PANN-PAN-KY1SP,"20,000",INVENTORY,1.00,0.72,100.00
BN-018PANN-PAN-LSP,"10,000",GROW,10.00,0.96,0.00
BN-018PANN-PAN-LSP,"20,000",INVENTORY,1.00,0.96,100.00
BN-018PANN-PAN-MSP,"10,000",GROW,9.00,0.96,0.00
BN-018PANN-PAN-MSP,"20,000",INVENTORY,1.00,0.96,100.00
BN-018PANN-PAN-SSP,"10,000",GROW,8.00,0.96,0.00
BN-018PANN-PAN-SSP,"20,000",INVENTORY,1.00,0.96,100.00
BN-018PANN-PAN-VA7SP,"10,000",GROW,9.00,0.72,0.00
BN-018PANN-PAN-VA7SP,"20,000",INVENTORY,1.00,0.72,100.00
BN-018PANN-PET-LSP,"10,000",GROW,7.00,0.96,0.00
BN-018PANN-PET-LSP,"20,000",INVENTORY,1.00,0.96,100.00
BN-018PANN-PET-MSP,"10,000",GROW,6.00,0.96,0.00
BN-018PANN-PET-MSP,"20,000",INVENTORY,1.00,0.96,100.00
BN-018PANN-PET-SSP,"10,000",GROW,5.00,0.96,0.00
BN-018PANN-PET-SSP,"20,000",INVENTORY,1.00,0.96,100.00
BN-018PANN-POR-LSP,"10,000",GROW,7.00,0.96,0.00
BN-018PANN-POR-LSP,"20,000",INVENTORY,1.00,0.96,100.00
BN-018PANN-POR-MSP,"10,000",GROW,6.00,0.96,0.00
BN-018PANN-POR-MSP,"20,000",INVENTORY,1.00,0.96,100.00
BN-018PANN-POR-SSP,"10,000",GROW,5.00,0.96,0.00
BN-018PANN-POR-SSP,"20,000",INVENTORY,1.00,0.96,100.00
BN-018PANN-SAL-LSP,"10,000",GROW,7.00,0.96,0.00
BN-018PANN-SAL-LSP,"20,000",INVENTORY,1.00,0.96,100.00
BN-018PANN-SAL-MSP,"10,000",GROW,6.00,0.96,0.00
BN-018PANN-SAL-MSP,"20,000",INVENTORY,1.00,0.96,100.00
BN-018PANN-SAL-SSP,"10,000",GROW,5.00,0.96,0.00
BN-018PANN-SAL-SSP,"20,000",INVENTORY,1.00,0.96,100.00
BN-018PANN-SUN-LSP,"10,000",GROW,9.00,0.96,0.00
BN-018PANN-SUN-LSP,"20,000",INVENTORY,1.00,0.96,100.00
BN-018PANN-SUN-MSP,"10,000",GROW,8.00,0.96,0.00
BN-018PANN-SUN-MSP,"20,000",INVENTORY,1.00,0.96,100.00
BN-018PANN-SUN-SSP,"10,000",GROW,7.00,0.96,0.00
BN-018PANN-SUN-SSP,"20,000",INVENTORY,1.00,0.96,100.00
BN-018PANN-VIN-LSP,"10,000",GROW,7.00,0.96,0.00
BN-018PANN-VIN-LSP,"20,000",INVENTORY,1.00,0.96,100.00
BN-018PANN-VIN-MSP,"10,000",GROW,6.00,0.96,0.00
BN-018PANN-VIN-MSP,"20,000",INVENTORY,1.00,0.96,100.00
BN-018PANN-VIN-SSP,"10,000",GROW,5.00,0.96,0.00
BN-018PANN-VIN-SSP,"20,000",INVENTORY,1.00,0.96,100.00
BN-018PANN-WAV-LSP,"10,000",GROW,8.00,0.96,0.00
BN-018PANN-WAV-LSP,"20,000",INVENTORY,1.00,0.96,100.00
BN-018PANN-WAV-MSP,"10,000",GROW,7.00,0.96,0.00
BN-018PANN-WAV-MSP,"20,000",INVENTORY,1.00,0.96,100.00
BN-018PANN-WAV-SSP,"10,000",GROW,6.00,0.96,0.00
BN-018PANN-WAV-SSP,"20,000",INVENTORY,1.00,0.96,100.00
BN-018PBIG-BEG-LPT,"10,000",GROW,4.00,0.96,0.00
BN-018PBIG-BEG-LPT,"30,000",SPACE,5.00,0.63,0.00
BN-018PBIG-BEG-LPT,"40,000",INVENTORY,1.00,0.63,100.00
BN-018PBIG-BEG-LSP,"10,000",GROW,9.00,0.63,0.00
BN-018PBIG-BEG-LSP,"20,000",INVENTORY,1.00,0.63,100.00
BN-018PBIG-BEG-MPT,"10,000",GROW,4.00,0.96,0.00
BN-018PBIG-BEG-MPT,"30,000",SPACE,4.00,0.63,0.00
BN-018PBIG-BEG-MPT,"40,000",INVENTORY,1.00,0.63,100.00
BN-018PBIG-BEG-MSP,"10,000",GROW,8.00,0.63,0.00
BN-018PBIG-BEG-MSP,"20,000",INVENTORY,1.00,0.63,100.00
BN-018PBIG-BEG-SPT,"10,000",GROW,3.00,0.96,0.00
BN-018PBIG-BEG-SPT,"30,000",SPACE,4.00,0.63,0.00
BN-018PBIG-BEG-SPT,"40,000",INVENTORY,1.00,0.63,100.00
BN-018PBIG-BEG-SSP,"10,000",GROW,7.00,0.63,0.00
BN-018PBIG-BEG-SSP,"20,000",INVENTORY,1.00,0.63,100.00
BN-02INART-ALO-LSP,"10,000",GROW,8.00,19.00,0.00
BN-02INART-ALO-LSP,"20,000",INVENTORY,1.00,19.00,100.00
