Production Scheme Code,Production Scheme Line No_,Production Phase,No_ of Days,Period No_
BN-012PANN-BEG-LSP,"10,000",GROW,49.00,1
BN-012PANN-BEG-LSP,"10,000",GROW,42.00,15
BN-012PANN-BEG-LSP,"10,000",GROW,35.00,18
BN-012PANN-BEG-LSP,"10,000",GROW,28.00,23
BN-012PANN-BEG-LSP,"10,000",GROW,35.00,37
BN-012PANN-BEG-LSP,"10,000",GROW,42.00,42
BN-012PANN-BEG-LSP,"10,000",GROW,49.00,45
BN-012PANN-BEG-MSP,"10,000",GROW,42.00,1
BN-012PANN-BEG-MSP,"10,000",GROW,35.00,15
BN-012PANN-BEG-MSP,"10,000",GROW,28.00,18
BN-012PANN-BEG-MSP,"10,000",GROW,35.00,42
BN-012PANN-BEG-MSP,"10,000",GROW,42.00,45
BN-012PANN-BEG-SSP,"10,000",GROW,35.00,1
BN-012PANN-BEG-SSP,"10,000",GROW,28.00,15
BN-012PANN-BEG-SSP,"10,000",GROW,35.00,45
BN-012PANN-COL-LSP,"10,000",GROW,49.00,1
BN-012PANN-COL-LSP,"10,000",GROW,42.00,15
BN-012PANN-COL-LSP,"10,000",GROW,35.00,18
BN-012PANN-COL-LSP,"10,000",GROW,28.00,23
BN-012PANN-COL-LSP,"10,000",GROW,35.00,37
BN-012PANN-COL-LSP,"10,000",GROW,42.00,40
BN-012PANN-COL-LSP,"10,000",GROW,49.00,42
BN-012PANN-COL-MSP,"10,000",GROW,42.00,1
BN-012PANN-COL-MSP,"10,000",GROW,35.00,15
BN-012PANN-COL-MSP,"10,000",GROW,28.00,18
BN-012PANN-COL-MSP,"10,000",GROW,35.00,40
BN-012PANN-COL-MSP,"10,000",GROW,42.00,42
BN-012PANN-COL-SSP,"10,000",GROW,35.00,1
BN-012PANN-COL-SSP,"10,000",GROW,28.00,15
BN-012PANN-COL-SSP,"10,000",GROW,35.00,42
BN-012PANN-DIA-LSP,"10,000",GROW,70.00,1
BN-012PANN-DIA-LSP,"10,000",GROW,63.00,15
BN-012PANN-DIA-LSP,"10,000",GROW,56.00,18
BN-012PANN-DIA-LSP,"10,000",GROW,49.00,21
BN-012PANN-DIA-LSP,"10,000",GROW,35.00,24
BN-012PANN-DIA-LSP,"10,000",GROW,49.00,37
BN-012PANN-DIA-LSP,"10,000",GROW,56.00,40
BN-012PANN-DIA-LSP,"10,000",GROW,63.00,43
BN-012PANN-DIA-LSP,"10,000",GROW,70.00,46
BN-012PANN-DIA-MSP,"10,000",GROW,63.00,1
BN-012PANN-DIA-MSP,"10,000",GROW,56.00,15
BN-012PANN-DIA-MSP,"10,000",GROW,49.00,18
BN-012PANN-DIA-MSP,"10,000",GROW,42.00,21
BN-012PANN-DIA-MSP,"10,000",GROW,35.00,24
BN-012PANN-DIA-MSP,"10,000",GROW,42.00,37
BN-012PANN-DIA-MSP,"10,000",GROW,49.00,40
BN-012PANN-DIA-MSP,"10,000",GROW,56.00,43
BN-012PANN-DIA-MSP,"10,000",GROW,63.00,46
BN-012PANN-DIA-SSP,"10,000",GROW,56.00,1
BN-012PANN-DIA-SSP,"10,000",GROW,49.00,15
BN-012PANN-DIA-SSP,"10,000",GROW,42.00,18
BN-012PANN-DIA-SSP,"10,000",GROW,35.00,21
BN-012PANN-DIA-SSP,"10,000",GROW,42.00,40
BN-012PANN-DIA-SSP,"10,000",GROW,49.00,43
BN-012PANN-DIA-SSP,"10,000",GROW,56.00,46
BN-012PANN-DUS-LSP,"10,000",GROW,49.00,1
BN-012PANN-DUS-LSP,"10,000",GROW,42.00,15
BN-012PANN-DUS-LSP,"10,000",GROW,35.00,21
BN-012PANN-DUS-LSP,"10,000",GROW,28.00,23
BN-012PANN-DUS-LSP,"10,000",GROW,42.00,37
BN-012PANN-DUS-LSP,"10,000",GROW,49.00,42
BN-012PANN-DUS-MSP,"10,000",GROW,42.00,1
BN-012PANN-DUS-MSP,"10,000",GROW,35.00,15
BN-012PANN-DUS-MSP,"10,000",GROW,28.00,21
BN-012PANN-DUS-MSP,"10,000",GROW,35.00,37
BN-012PANN-DUS-MSP,"10,000",GROW,42.00,42
BN-012PANN-DUS-SSP,"10,000",GROW,35.00,1
BN-012PANN-DUS-SSP,"10,000",GROW,28.00,15
BN-012PANN-DUS-SSP,"10,000",GROW,35.00,42
BN-012PANN-IMP-LSP,"10,000",GROW,42.00,1
BN-012PANN-IMP-LSP,"10,000",GROW,35.00,18
BN-012PANN-IMP-LSP,"10,000",GROW,28.00,21
BN-012PANN-IMP-LSP,"10,000",GROW,21.00,23
BN-012PANN-IMP-LSP,"10,000",GROW,28.00,37
BN-012PANN-IMP-LSP,"10,000",GROW,35.00,40
BN-012PANN-IMP-LSP,"10,000",GROW,42.00,43
BN-012PANN-IMP-MSP,"10,000",GROW,35.00,1
BN-012PANN-IMP-MSP,"10,000",GROW,28.00,18
BN-012PANN-IMP-MSP,"10,000",GROW,21.00,21
BN-012PANN-IMP-MSP,"10,000",GROW,28.00,40
BN-012PANN-IMP-MSP,"10,000",GROW,35.00,43
BN-012PANN-IMP-SSP,"10,000",GROW,28.00,1
BN-012PANN-IMP-SSP,"10,000",GROW,21.00,18
BN-012PANN-IMP-SSP,"10,000",GROW,28.00,40
BN-012PANN-MAR-LSP,"10,000",GROW,42.00,1
BN-012PANN-MAR-LSP,"10,000",GROW,35.00,15
BN-012PANN-MAR-LSP,"10,000",GROW,28.00,19
BN-012PANN-MAR-LSP,"10,000",GROW,35.00,40
BN-012PANN-MAR-LSP,"10,000",GROW,42.00,43
BN-012PANN-MAR-MSP,"10,000",GROW,35.00,1
BN-012PANN-MAR-MSP,"10,000",GROW,28.00,15
BN-012PANN-MAR-MSP,"10,000",GROW,35.00,43
BN-012PANN-MAR-SSP,"10,000",GROW,28.00,1
BN-012PANN-PAN-LSP,"10,000",GROW,70.00,1
BN-012PANN-PAN-LSP,"10,000",GROW,63.00,9
BN-012PANN-PAN-LSP,"10,000",GROW,56.00,13
BN-012PANN-PAN-LSP,"10,000",GROW,49.00,17
BN-012PANN-PAN-LSP,"10,000",GROW,42.00,21
BN-012PANN-PAN-LSP,"10,000",GROW,35.00,23
BN-012PANN-PAN-LSP,"10,000",GROW,49.00,37
BN-012PANN-PAN-LSP,"10,000",GROW,56.00,41
BN-012PANN-PAN-LSP,"10,000",GROW,63.00,44
BN-012PANN-PAN-LSP,"10,000",GROW,70.00,48
BN-012PANN-PAN-MSP,"10,000",GROW,63.00,1
BN-012PANN-PAN-MSP,"10,000",GROW,56.00,9
BN-012PANN-PAN-MSP,"10,000",GROW,49.00,13
BN-012PANN-PAN-MSP,"10,000",GROW,42.00,17
BN-012PANN-PAN-MSP,"10,000",GROW,35.00,21
BN-012PANN-PAN-MSP,"10,000",GROW,42.00,37
BN-012PANN-PAN-MSP,"10,000",GROW,49.00,41
BN-012PANN-PAN-MSP,"10,000",GROW,56.00,44
BN-012PANN-PAN-MSP,"10,000",GROW,63.00,48
BN-012PANN-PAN-SSP,"10,000",GROW,56.00,1
BN-012PANN-PAN-SSP,"10,000",GROW,49.00,9
BN-012PANN-PAN-SSP,"10,000",GROW,42.00,13
BN-012PANN-PAN-SSP,"10,000",GROW,35.00,17
BN-012PANN-PAN-SSP,"10,000",GROW,42.00,41
BN-012PANN-PAN-SSP,"10,000",GROW,49.00,44
BN-012PANN-PAN-SSP,"10,000",GROW,56.00,48
BN-012PANN-PET-LSP,"10,000",GROW,49.00,1
BN-012PANN-PET-LSP,"10,000",GROW,42.00,15
BN-012PANN-PET-LSP,"10,000",GROW,35.00,21
BN-012PANN-PET-LSP,"10,000",GROW,28.00,23
BN-012PANN-PET-LSP,"10,000",GROW,35.00,37
BN-012PANN-PET-LSP,"10,000",GROW,42.00,40
BN-012PANN-PET-LSP,"10,000",GROW,49.00,45
BN-012PANN-PET-MSP,"10,000",GROW,42.00,1
BN-012PANN-PET-MSP,"10,000",GROW,35.00,15
BN-012PANN-PET-MSP,"10,000",GROW,28.00,21
BN-012PANN-PET-MSP,"10,000",GROW,35.00,40
BN-012PANN-PET-MSP,"10,000",GROW,42.00,45
BN-012PANN-PET-SSP,"10,000",GROW,35.00,1
BN-012PANN-PET-SSP,"10,000",GROW,28.00,15
BN-012PANN-PET-SSP,"10,000",GROW,21.00,37
BN-012PANN-PET-SSP,"10,000",GROW,28.00,40
BN-012PANN-PET-SSP,"10,000",GROW,35.00,45
BN-012PANN-VIN-LSP,"10,000",GROW,49.00,1
BN-012PANN-VIN-LSP,"10,000",GROW,42.00,15
BN-012PANN-VIN-LSP,"10,000",GROW,35.00,18
BN-012PANN-VIN-LSP,"10,000",GROW,28.00,23
BN-012PANN-VIN-LSP,"10,000",GROW,35.00,37
BN-012PANN-VIN-LSP,"10,000",GROW,42.00,40
BN-012PANN-VIN-LSP,"10,000",GROW,49.00,42
BN-012PANN-VIN-MSP,"10,000",GROW,42.00,1
BN-012PANN-VIN-MSP,"10,000",GROW,35.00,15
BN-012PANN-VIN-MSP,"10,000",GROW,28.00,18
BN-012PANN-VIN-MSP,"10,000",GROW,35.00,40
BN-012PANN-VIN-MSP,"10,000",GROW,42.00,42
BN-012PANN-VIN-SSP,"10,000",GROW,35.00,1
BN-012PANN-VIN-SSP,"10,000",GROW,28.00,15
BN-012PANN-VIN-SSP,"10,000",GROW,35.00,42
BN-012PANN-ZIN-LSP,"10,000",GROW,49.00,1
BN-012PANN-ZIN-LSP,"10,000",GROW,42.00,21
BN-012PANN-ZIN-LSP,"10,000",GROW,49.00,37
BN-012PANN-ZIN-MSP,"10,000",GROW,42.00,1
BN-012PANN-ZIN-SSP,"10,000",GROW,35.00,1
BN-012PANN-ZIN-SSP,"10,000",GROW,42.00,21
BN-012PANN-ZIN-SSP,"10,000",GROW,35.00,37
BN-018PANN-BEG-LSP,"10,000",GROW,49.00,1
BN-018PANN-BEG-LSP,"10,000",GROW,42.00,15
BN-018PANN-BEG-LSP,"10,000",GROW,35.00,20
BN-018PANN-BEG-LSP,"10,000",GROW,28.00,23
BN-018PANN-BEG-LSP,"10,000",GROW,35.00,37
BN-018PANN-BEG-LSP,"10,000",GROW,42.00,42
BN-018PANN-BEG-MSP,"10,000",GROW,42.00,1
BN-018PANN-BEG-MSP,"10,000",GROW,35.00,15
BN-018PANN-BEG-MSP,"10,000",GROW,28.00,20
BN-018PANN-BEG-MSP,"10,000",GROW,35.00,42
BN-018PANN-BEG-SSP,"10,000",GROW,35.00,1
BN-018PANN-BEG-SSP,"10,000",GROW,28.00,15
BN-018PANN-CEL-LSP,"10,000",GROW,49.00,1
BN-018PANN-CEL-LSP,"10,000",GROW,42.00,15
BN-018PANN-CEL-LSP,"10,000",GROW,35.00,21
BN-018PANN-CEL-LSP,"10,000",GROW,28.00,23
BN-018PANN-CEL-LSP,"10,000",GROW,35.00,35
BN-018PANN-CEL-LSP,"10,000",GROW,42.00,37
BN-018PANN-CEL-LSP,"10,000",GROW,49.00,42
BN-018PANN-CEL-MSP,"10,000",GROW,42.00,1
BN-018PANN-CEL-MSP,"10,000",GROW,35.00,15
BN-018PANN-CEL-MSP,"10,000",GROW,28.00,21
BN-018PANN-CEL-MSP,"10,000",GROW,35.00,35
BN-018PANN-CEL-MSP,"10,000",GROW,42.00,42
BN-018PANN-CEL-SSP,"10,000",GROW,35.00,1
BN-018PANN-CEL-SSP,"10,000",GROW,28.00,15
BN-018PANN-CEL-SSP,"10,000",GROW,35.00,42
BN-018PANN-COL-LSP,"10,000",GROW,49.00,1
BN-018PANN-COL-LSP,"10,000",GROW,42.00,15
BN-018PANN-COL-LSP,"10,000",GROW,35.00,21
BN-018PANN-COL-LSP,"10,000",GROW,28.00,23
BN-018PANN-COL-LSP,"10,000",GROW,42.00,37
BN-018PANN-COL-LSP,"10,000",GROW,49.00,42
BN-018PANN-COL-MSP,"10,000",GROW,42.00,1
BN-018PANN-COL-MSP,"10,000",GROW,35.00,15
BN-018PANN-COL-MSP,"10,000",GROW,28.00,21
BN-018PANN-COL-MSP,"10,000",GROW,35.00,37
BN-018PANN-COL-MSP,"10,000",GROW,42.00,42
BN-018PANN-COL-SSP,"10,000",GROW,35.00,1
BN-018PANN-COL-SSP,"10,000",GROW,28.00,15
BN-018PANN-COL-SSP,"10,000",GROW,35.00,42
BN-018PANN-IMP-LSP,"10,000",GROW,42.00,1
BN-018PANN-IMP-LSP,"10,000",GROW,35.00,18
BN-018PANN-IMP-LSP,"10,000",GROW,28.00,21
BN-018PANN-IMP-LSP,"10,000",GROW,21.00,23
BN-018PANN-IMP-LSP,"10,000",GROW,28.00,37
BN-018PANN-IMP-LSP,"10,000",GROW,35.00,40
BN-018PANN-IMP-LSP,"10,000",GROW,42.00,43
BN-018PANN-IMP-MSP,"10,000",GROW,35.00,1
BN-018PANN-IMP-MSP,"10,000",GROW,28.00,18
BN-018PANN-IMP-MSP,"10,000",GROW,21.00,21
BN-018PANN-IMP-MSP,"10,000",GROW,28.00,40
BN-018PANN-IMP-MSP,"10,000",GROW,35.00,43
BN-018PANN-IMP-SSP,"10,000",GROW,28.00,1
BN-018PANN-IMP-SSP,"10,000",GROW,21.00,18
BN-018PANN-IMP-SSP,"10,000",GROW,28.00,40
BN-018PANN-MAR-LSP,"10,000",GROW,42.00,1
BN-018PANN-MAR-LSP,"10,000",GROW,35.00,15
BN-018PANN-MAR-LSP,"10,000",GROW,28.00,21
BN-018PANN-MAR-LSP,"10,000",GROW,21.00,23
BN-018PANN-MAR-LSP,"10,000",GROW,28.00,37
BN-018PANN-MAR-LSP,"10,000",GROW,35.00,40
BN-018PANN-MAR-LSP,"10,000",GROW,42.00,44
BN-018PANN-MAR-MSP,"10,000",GROW,35.00,1
BN-018PANN-MAR-MSP,"10,000",GROW,28.00,15
BN-018PANN-MAR-MSP,"10,000",GROW,21.00,21
BN-018PANN-MAR-MSP,"10,000",GROW,28.00,40
BN-018PANN-MAR-MSP,"10,000",GROW,35.00,44
BN-018PANN-MAR-SSP,"10,000",GROW,28.00,1
BN-018PANN-MAR-SSP,"10,000",GROW,21.00,21
BN-018PANN-MAR-SSP,"10,000",GROW,28.00,44
BN-018PANN-PAN-KY1SP,"10,000",GROW,56.00,1
BN-018PANN-PAN-KY1SP,"10,000",GROW,49.00,9
BN-018PANN-PAN-KY1SP,"10,000",GROW,42.00,13
BN-018PANN-PAN-KY1SP,"10,000",GROW,35.00,17
BN-018PANN-PAN-KY1SP,"10,000",GROW,42.00,41
BN-018PANN-PAN-KY1SP,"10,000",GROW,49.00,46
BN-018PANN-PAN-KY1SP,"10,000",GROW,56.00,51
BN-018PANN-PAN-LSP,"10,000",GROW,70.00,1
BN-018PANN-PAN-LSP,"10,000",GROW,63.00,15
BN-018PANN-PAN-LSP,"10,000",GROW,56.00,17
BN-018PANN-PAN-LSP,"10,000",GROW,49.00,21
BN-018PANN-PAN-LSP,"10,000",GROW,35.00,23
BN-018PANN-PAN-LSP,"10,000",GROW,49.00,38
BN-018PANN-PAN-LSP,"10,000",GROW,56.00,41
BN-018PANN-PAN-LSP,"10,000",GROW,63.00,44
BN-018PANN-PAN-MSP,"10,000",GROW,63.00,1
BN-018PANN-PAN-MSP,"10,000",GROW,56.00,9
BN-018PANN-PAN-MSP,"10,000",GROW,49.00,13
BN-018PANN-PAN-MSP,"10,000",GROW,42.00,17
BN-018PANN-PAN-MSP,"10,000",GROW,35.00,21
BN-018PANN-PAN-MSP,"10,000",GROW,42.00,37
BN-018PANN-PAN-MSP,"10,000",GROW,49.00,41
BN-018PANN-PAN-MSP,"10,000",GROW,56.00,44
BN-018PANN-PAN-MSP,"10,000",GROW,63.00,48
BN-018PANN-PAN-SSP,"10,000",GROW,56.00,1
BN-018PANN-PAN-SSP,"10,000",GROW,49.00,9
BN-018PANN-PAN-SSP,"10,000",GROW,42.00,13
BN-018PANN-PAN-SSP,"10,000",GROW,35.00,17
BN-018PANN-PAN-SSP,"10,000",GROW,42.00,41
BN-018PANN-PAN-SSP,"10,000",GROW,49.00,44
BN-018PANN-PAN-SSP,"10,000",GROW,56.00,48
BN-018PANN-PAN-VA7SP,"10,000",GROW,63.00,1
BN-018PANN-PAN-VA7SP,"10,000",GROW,56.00,9
BN-018PANN-PAN-VA7SP,"10,000",GROW,49.00,13
BN-018PANN-PAN-VA7SP,"10,000",GROW,42.00,17
BN-018PANN-PAN-VA7SP,"10,000",GROW,35.00,21
BN-018PANN-PAN-VA7SP,"10,000",GROW,42.00,41
BN-018PANN-PAN-VA7SP,"10,000",GROW,49.00,46
BN-018PANN-PAN-VA7SP,"10,000",GROW,56.00,51
BN-018PANN-PET-LSP,"10,000",GROW,49.00,1
BN-018PANN-PET-LSP,"10,000",GROW,42.00,15
BN-018PANN-PET-LSP,"10,000",GROW,35.00,19
BN-018PANN-PET-LSP,"10,000",GROW,28.00,23
BN-018PANN-PET-LSP,"10,000",GROW,35.00,37
BN-018PANN-PET-LSP,"10,000",GROW,42.00,40
BN-018PANN-PET-LSP,"10,000",GROW,49.00,45
BN-018PANN-PET-MSP,"10,000",GROW,42.00,1
BN-018PANN-PET-MSP,"10,000",GROW,35.00,15
BN-018PANN-PET-MSP,"10,000",GROW,28.00,19
BN-018PANN-PET-MSP,"10,000",GROW,35.00,40
BN-018PANN-PET-MSP,"10,000",GROW,42.00,45
BN-018PANN-PET-SSP,"10,000",GROW,35.00,1
BN-018PANN-PET-SSP,"10,000",GROW,28.00,15
BN-018PANN-PET-SSP,"10,000",GROW,35.00,45
BN-018PANN-POR-LSP,"10,000",GROW,49.00,1
BN-018PANN-POR-LSP,"10,000",GROW,42.00,15
BN-018PANN-POR-LSP,"10,000",GROW,35.00,23
BN-018PANN-POR-LSP,"10,000",GROW,42.00,37
BN-018PANN-POR-LSP,"10,000",GROW,49.00,42
BN-018PANN-POR-MSP,"10,000",GROW,42.00,1
BN-018PANN-POR-MSP,"10,000",GROW,35.00,15
BN-018PANN-POR-MSP,"10,000",GROW,42.00,42
BN-018PANN-POR-SSP,"10,000",GROW,35.00,1
BN-018PANN-SAL-LSP,"10,000",GROW,49.00,1
BN-018PANN-SAL-LSP,"10,000",GROW,42.00,15
BN-018PANN-SAL-LSP,"10,000",GROW,35.00,19
BN-018PANN-SAL-LSP,"10,000",GROW,42.00,35
BN-018PANN-SAL-LSP,"10,000",GROW,49.00,41
BN-018PANN-SAL-MSP,"10,000",GROW,42.00,1
BN-018PANN-SAL-MSP,"10,000",GROW,35.00,15
BN-018PANN-SAL-MSP,"10,000",GROW,42.00,35
BN-018PANN-SAL-MSP,"10,000",GROW,35.00,37
BN-018PANN-SAL-MSP,"10,000",GROW,42.00,41
BN-018PANN-SAL-SSP,"10,000",GROW,35.00,1
BN-018PANN-SUN-LSP,"10,000",GROW,63.00,1
BN-018PANN-SUN-LSP,"10,000",GROW,56.00,15
BN-018PANN-SUN-LSP,"10,000",GROW,49.00,23
BN-018PANN-SUN-LSP,"10,000",GROW,56.00,37
BN-018PANN-SUN-LSP,"10,000",GROW,63.00,41
BN-018PANN-SUN-MSP,"10,000",GROW,56.00,1
BN-018PANN-SUN-MSP,"10,000",GROW,49.00,15
BN-018PANN-SUN-MSP,"10,000",GROW,56.00,41
BN-018PANN-SUN-SSP,"10,000",GROW,49.00,1
BN-018PANN-VIN-LSP,"10,000",GROW,49.00,1
BN-018PANN-VIN-LSP,"10,000",GROW,42.00,15
BN-018PANN-VIN-LSP,"10,000",GROW,35.00,19
BN-018PANN-VIN-LSP,"10,000",GROW,28.00,23
BN-018PANN-VIN-LSP,"10,000",GROW,35.00,37
BN-018PANN-VIN-LSP,"10,000",GROW,42.00,41
BN-018PANN-VIN-LSP,"10,000",GROW,49.00,44
BN-018PANN-VIN-MSP,"10,000",GROW,42.00,1
BN-018PANN-VIN-MSP,"10,000",GROW,35.00,15
BN-018PANN-VIN-MSP,"10,000",GROW,28.00,19
BN-018PANN-VIN-MSP,"10,000",GROW,35.00,41
BN-018PANN-VIN-MSP,"10,000",GROW,42.00,44
BN-018PANN-VIN-SSP,"10,000",GROW,35.00,1
BN-018PANN-VIN-SSP,"10,000",GROW,28.00,15
BN-018PANN-VIN-SSP,"10,000",GROW,35.00,44
BN-018PANN-WAV-LSP,"10,000",GROW,56.00,1
BN-018PANN-WAV-LSP,"10,000",GROW,49.00,15
BN-018PANN-WAV-LSP,"10,000",GROW,42.00,21
BN-018PANN-WAV-LSP,"10,000",GROW,28.00,23
BN-018PANN-WAV-LSP,"10,000",GROW,42.00,37
BN-018PANN-WAV-LSP,"10,000",GROW,49.00,40
BN-018PANN-WAV-LSP,"10,000",GROW,56.00,45
BN-018PANN-WAV-MSP,"10,000",GROW,49.00,1
BN-018PANN-WAV-MSP,"10,000",GROW,42.00,15
BN-018PANN-WAV-MSP,"10,000",GROW,35.00,17
BN-018PANN-WAV-MSP,"10,000",GROW,28.00,23
BN-018PANN-WAV-MSP,"10,000",GROW,35.00,37
BN-018PANN-WAV-MSP,"10,000",GROW,42.00,40
BN-018PANN-WAV-MSP,"10,000",GROW,49.00,45
BN-018PANN-WAV-SSP,"10,000",GROW,42.00,1
BN-018PANN-WAV-SSP,"10,000",GROW,35.00,15
BN-018PANN-WAV-SSP,"10,000",GROW,28.00,21
BN-018PANN-WAV-SSP,"10,000",GROW,35.00,40
BN-018PANN-WAV-SSP,"10,000",GROW,42.00,45
BN-018PBIG-BEG-LPT,"10,000",GROW,28.00,1
BN-018PBIG-BEG-LPT,"10,000",GROW,21.00,21
BN-018PBIG-BEG-LPT,"10,000",GROW,14.00,25
BN-018PBIG-BEG-LPT,"10,000",GROW,21.00,37
BN-018PBIG-BEG-LPT,"10,000",GROW,28.00,40
BN-018PBIG-BEG-LPT,"30,000",SPACE,35.00,1
BN-018PBIG-BEG-LPT,"30,000",SPACE,28.00,15
BN-018PBIG-BEG-LPT,"30,000",SPACE,21.00,19
BN-018PBIG-BEG-LPT,"30,000",SPACE,28.00,42
BN-018PBIG-BEG-LPT,"30,000",SPACE,35.00,45
BN-018PBIG-BEG-LSP,"10,000",GROW,63.00,1
BN-018PBIG-BEG-LSP,"10,000",GROW,56.00,15
BN-018PBIG-BEG-LSP,"10,000",GROW,49.00,19
BN-018PBIG-BEG-LSP,"10,000",GROW,42.00,22
BN-018PBIG-BEG-LSP,"10,000",GROW,35.00,25
BN-018PBIG-BEG-LSP,"10,000",GROW,42.00,37
BN-018PBIG-BEG-LSP,"10,000",GROW,49.00,40
BN-018PBIG-BEG-LSP,"10,000",GROW,56.00,42
BN-018PBIG-BEG-LSP,"10,000",GROW,63.00,45
BN-018PBIG-BEG-MPT,"10,000",GROW,28.00,1
BN-018PBIG-BEG-MPT,"10,000",GROW,21.00,15
BN-018PBIG-BEG-MPT,"10,000",GROW,14.00,22
BN-018PBIG-BEG-MPT,"10,000",GROW,21.00,40
BN-018PBIG-BEG-MPT,"10,000",GROW,28.00,42
BN-018PBIG-BEG-MPT,"30,000",SPACE,28.00,1
BN-018PBIG-BEG-MPT,"30,000",SPACE,21.00,19
BN-018PBIG-BEG-MPT,"30,000",SPACE,28.00,45
BN-018PBIG-BEG-MSP,"10,000",GROW,56.00,1
BN-018PBIG-BEG-MSP,"10,000",GROW,49.00,15
BN-018PBIG-BEG-MSP,"10,000",GROW,42.00,19
BN-018PBIG-BEG-MSP,"10,000",GROW,35.00,22
BN-018PBIG-BEG-MSP,"10,000",GROW,42.00,40
BN-018PBIG-BEG-MSP,"10,000",GROW,49.00,42
BN-018PBIG-BEG-MSP,"10,000",GROW,56.00,45
BN-018PBIG-BEG-SPT,"10,000",GROW,21.00,1
BN-018PBIG-BEG-SPT,"10,000",GROW,14.00,21
BN-018PBIG-BEG-SPT,"10,000",GROW,21.00,37
BN-018PBIG-BEG-SPT,"30,000",SPACE,28.00,1
BN-018PBIG-BEG-SPT,"30,000",SPACE,21.00,15
BN-018PBIG-BEG-SPT,"30,000",SPACE,28.00,42
BN-018PBIG-BEG-SSP,"10,000",GROW,49.00,1
BN-018PBIG-BEG-SSP,"10,000",GROW,42.00,15
BN-018PBIG-BEG-SSP,"10,000",GROW,35.00,21
BN-018PBIG-BEG-SSP,"10,000",GROW,42.00,37
BN-018PBIG-BEG-SSP,"10,000",GROW,49.00,42
BN-02QTANN-AGE-LSP,"10,000",GROW,49.00,1
BN-02QTANN-AGE-LSP,"10,000",GROW,42.00,15
BN-02QTANN-AGE-LSP,"10,000",GROW,35.00,21
BN-02QTANN-AGE-LSP,"10,000",GROW,42.00,37
BN-02QTANN-AGE-LSP,"10,000",GROW,49.00,41
BN-02QTANN-AGE-MSP,"10,000",GROW,42.00,1
BN-02QTANN-AGE-MSP,"10,000",GROW,35.00,15
BN-02QTANN-AGE-MSP,"10,000",GROW,42.00,41
BN-02QTANN-AGE-SSP,"10,000",GROW,35.00,1
BN-02QTANN-ALY-LSP,"10,000",GROW,42.00,1
BN-02QTANN-ALY-LSP,"10,000",GROW,35.00,15
BN-02QTANN-ALY-LSP,"10,000",GROW,28.00,23
BN-02QTANN-ALY-LSP,"10,000",GROW,35.00,37
BN-02QTANN-ALY-LSP,"10,000",GROW,42.00,43
BN-02QTANN-ALY-MSP,"10,000",GROW,35.00,1
BN-02QTANN-ALY-MSP,"10,000",GROW,28.00,15
BN-02QTANN-ALY-MSP,"10,000",GROW,35.00,43
BN-02QTANN-ALY-SSP,"10,000",GROW,28.00,1
BN-02QTANN-BEG-LSP,"10,000",GROW,56.00,1
BN-02QTANN-BEG-LSP,"10,000",GROW,49.00,15
BN-02QTANN-BEG-LSP,"10,000",GROW,42.00,18
BN-02QTANN-BEG-LSP,"10,000",GROW,35.00,23
BN-02QTANN-BEG-LSP,"10,000",GROW,49.00,37
BN-02QTANN-BEG-LSP,"10,000",GROW,56.00,45
BN-02QTANN-BEG-MSP,"10,000",GROW,49.00,1
BN-02QTANN-BEG-MSP,"10,000",GROW,42.00,15
BN-02QTANN-BEG-MSP,"10,000",GROW,35.00,18
BN-02QTANN-BEG-MSP,"10,000",GROW,42.00,37
BN-02QTANN-BEG-MSP,"10,000",GROW,49.00,45
BN-02QTANN-BEG-SSP,"10,000",GROW,42.00,1
BN-02QTANN-BEG-SSP,"10,000",GROW,35.00,15
BN-02QTANN-BEG-SSP,"10,000",GROW,42.00,45
BN-02QTANN-CEL-LSP,"10,000",GROW,63.00,1
BN-02QTANN-CEL-LSP,"10,000",GROW,56.00,15
BN-02QTANN-CEL-LSP,"10,000",GROW,49.00,20
BN-02QTANN-CEL-LSP,"10,000",GROW,42.00,24
BN-02QTANN-CEL-LSP,"10,000",GROW,49.00,37
BN-02QTANN-CEL-LSP,"10,000",GROW,56.00,40
BN-02QTANN-CEL-LSP,"10,000",GROW,63.00,43
BN-02QTANN-CEL-MSP,"10,000",GROW,56.00,1
BN-02QTANN-CEL-MSP,"10,000",GROW,49.00,15
BN-02QTANN-CEL-MSP,"10,000",GROW,42.00,20
BN-02QTANN-CEL-MSP,"10,000",GROW,35.00,24
BN-02QTANN-CEL-MSP,"10,000",GROW,42.00,37
BN-02QTANN-CEL-MSP,"10,000",GROW,49.00,40
BN-02QTANN-CEL-MSP,"10,000",GROW,56.00,43
BN-02QTANN-CEL-SSP,"10,000",GROW,49.00,1
BN-02QTANN-CEL-SSP,"10,000",GROW,42.00,15
BN-02QTANN-CEL-SSP,"10,000",GROW,35.00,20
BN-02QTANN-CEL-SSP,"10,000",GROW,42.00,40
BN-02QTANN-CEL-SSP,"10,000",GROW,49.00,43
BN-02QTANN-COL-LSP,"10,000",GROW,49.00,1
BN-02QTANN-COL-LSP,"10,000",GROW,42.00,15
BN-02QTANN-COL-LSP,"10,000",GROW,35.00,21
BN-02QTANN-COL-LSP,"10,000",GROW,28.00,23
BN-02QTANN-COL-LSP,"10,000",GROW,35.00,37
BN-02QTANN-COL-LSP,"10,000",GROW,42.00,41
