Production Item No_,Production Variant Code,Location Code,Production Scheme Code,Activity Scheme Code,Add_ Activity Scheme Code
4008263,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALSHR,NJ00-4008263
4012841,,NJ00,NJ00-2GALROS-HYB,NJ00-2GALSHR,NJ00-4012841
4008264,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALSHR,NJ00-4008264
4008265,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALSHR,NJ00-4008265
4012812,,NJ00,NJ00-2GALROS-HYB,NJ00-2GALSHR,NJ00-4012812
4012846,,NJ00,NJ00-2GALROS-HYB,NJ00-2GALSHR,NJ00-4012846
4008268,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALSHR,NJ00-4008268
4013048,,NJ00,NJ00-2GALROS-HYB,NJ00-2GALSHR,NJ00-4013048
4008269,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALSHR,NJ00-4008269
4008274,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALSHR,NJ00-4008274
4012851,,NJ00,NJ00-2GALROS-HYB,NJ00-2GALSHR,NJ00-4012851
4008275,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALSHR,NJ00-4008275
4012813,,NJ00,NJ00-2GALROS-HYB,NJ00-2GALSHR,NJ00-4012813
4008276,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALSHR,NJ00-4008276
4008277,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALSHR,NJ00-4008277
4010371,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALSHR,NJ00-4010371
4008279,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALSHR,NJ00-4008279
4012814,,NJ00,NJ00-2GALROS-HYB,NJ00-2GALSHR,NJ00-4012814
4008282,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALSHR,NJ00-4008282
4012815,,NJ00,NJ00-2GALROS-HYB,NJ00-2GALSHR,NJ00-4012815
4013059,,NJ00,NJ00-2GALROS-HYB,NJ00-2GALSHR,NJ00-4013059
4005746,,NJ00,NJ00-1GALROS-KNO,NJ00-1.5GSHR,NJ00-4005746
4010786,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALSHR,NJ00-4010786
4005747,,NJ00,NJ00-1GALROS-KNO,NJ00-1.5GSHR,NJ00-4005747
4010787,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALSHR,NJ00-4010787
4005748,,NJ00,NJ00-1GALROS-KNO,NJ00-1.5GSHR,NJ00-4005748
4010788,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALSHR,NJ00-4010788
4005749,,NJ00,NJ00-1GALROS-KNO,NJ00-1.5GSHR,NJ00-4005749
4010789,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALSHR,NJ00-4010789
4008289,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALSHR,NJ00-4008289
4012872,,NJ00,NJ00-2GALROS-HYB,NJ00-2GALSHR,NJ00-4012872
4008290,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALSHR,NJ00-4008290
4012194,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALSHR,NJ00-4012194
4011393,,NJ00,NJ00-5GALROS-OTF,NJ00-5GALSHR,NJ00-4011393
4010374,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALROS-DEC,NJ00-4010374
4010378,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALROS-DEC,NJ00-4010378
4010529,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALSHR,NJ00-4010529
4008299,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALSHR,NJ00-4008299
4008302,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALSHR,NJ00-4008302
4006498,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALROS-DEC,NJ00-4006498
4010530,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALSHR,NJ00-4010530
4009331,,NJ00,NJ00-5GALROS-OTF,NJ00-5GALSHR,NJ00-4009331
4008303,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALSHR,NJ00-4008303
4009332,,NJ00,NJ00-5GALROS-DEC-OTF,NJ00-5GALROS-DEC-OTF,NJ00-4009332
4011430,,NJ00,NJ00-5GALROS-OTF,NJ00-5GALSHR,NJ00-4011430
4006505,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALROS-DEC,NJ00-4006505
4008305,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALSHR,NJ00-4008305
4002837,,NJ00,NJ00-5GALROS-DEC-OTF,NJ00-5GALROS-DEC-OTF,NJ00-4002837
4009334,,NJ00,NJ00-5GALROS-OTF,NJ00-5GALSHR,NJ00-4009334
4011394,,NJ00,NJ00-5GALROS-OTF,NJ00-5GALSHR,NJ00-4011394
4009238,,NJ00,NJ00-5GALROS-OTF,NJ00-5GALSHR,NJ00-4009238
4008307,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALSHR,NJ00-4008307
4009336,,NJ00,NJ00-5GALROS-DEC-OTF,NJ00-5GALROS-DEC-OTF,NJ00-4009336
4008310,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALROS-DEC,NJ00-4008310
4008309,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALSHR,NJ00-4008309
4009338,,NJ00,NJ00-5GALROS-DEC-OTF,NJ00-5GALROS-DEC-OTF,NJ00-4009338
4008311,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALSHR,NJ00-4008311
4009340,,NJ00,NJ00-5GALROS-OTF,NJ00-5GALSHR,NJ00-4009340
4009341,,NJ00,NJ00-5GALROS-DEC-OTF,NJ00-5GALROS-DEC-OTF,NJ00-4009341
4009342,,NJ00,NJ00-5GALROS-DEC-OTF,NJ00-5GALROS-DEC-OTF,NJ00-4009342
4011395,,NJ00,NJ00-5GALROS-OTF,NJ00-5GALSHR,NJ00-4011395
4010143,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALSHR,NJ00-4010143
4012816,,NJ00,NJ00-2GALROS-HYB,NJ00-2GALSHR,NJ00-4012816
4012241,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALSHR,NJ00-4012241
4005751,,NJ00,NJ00-1GALROS-KNO,NJ00-1.5GSHR,NJ00-4005751
4012242,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALSHR,NJ00-4012242
4012912,,NJ00,NJ00-2GALROS-HYB,NJ00-3GALROS-MYS-PAI,NJ00-4012912
