Production Item No_,Production Variant Code,Location Code,Production Scheme Code,Activity Scheme Code,Add_ Activity Scheme Code
4008094,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALROS-DRI,NJ00-4008094
4008344,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALSHR,NJ00-4008344
4012818,,NJ00,NJ00-2GALROS-HYB,NJ00-2GALSHR,NJ00-4012818
4012311,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALSHR,NJ00-4012311
4011528,,NJ00,NJ00-2GALROS-HYB,NJ00-2GALPWS,NJ00-4011528
4012819,,NJ00,NJ00-2GALROS-HYB,NJ00-2GALSHR,NJ00-4012819
4012168,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALSHR,NJ00-4012168
4012820,,NJ00,NJ00-2GALROS-HYB,NJ00-2GALSHR,NJ00-4012820
4012169,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALSHR,NJ00-4012169
4012877,,NJ00,NJ00-2GALROS-HYB,NJ00-2GALSHR,NJ00-4012877
4012878,,NJ00,NJ00-3GALROS-HYB,NJ00-3GALSHR,NJ00-4012878
